dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,5.633999,ms,5633999.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,5633999
1,yolov8_nano$dispatch_1_gemmini_q31_silu_s8_n102400,,,28.139080,ms,28139080.000000,0,,firesim,silu_s8,n=102400,28139080
2,yolov8_nano$dispatch_2_gemmini_q31_conv2d_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,3.751943,ms,3751943.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,3751943
3,yolov8_nano$dispatch_3_gemmini_q31_silu_s8_n51200,,,13.577689,ms,13577689.000000,0,,firesim,silu_s8,n=51200,13577689
4,yolov8_nano$dispatch_4_gemmini_q31_conv2d_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,3.139361,ms,3139361.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,3139361
5,yolov8_nano$dispatch_5_gemmini_q31_silu_s8_n51200,,,13.672319,ms,13672319.000000,0,,firesim,silu_s8,n=51200,13672319
6,yolov8_nano$dispatch_6_gemmini_q31_chunk2_c1_N1xC32xH40xW40xc_each16,,,0.000000,ms,0.000000,0,,firesim,chunk2_c1,N=1;C=32;H=40;W=40;c_each=16,0
7,yolov8_nano$dispatch_7_gemmini_q31_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,1.626306,ms,1626306.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1626306
8,yolov8_nano$dispatch_8_gemmini_q31_silu_s8_n25600,,,7.001767,ms,7001767.000000,0,,firesim,silu_s8,n=25600,7001767
9,yolov8_nano$dispatch_9_gemmini_q31_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,1.609592,ms,1609592.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1609592
10,yolov8_nano$dispatch_10_gemmini_q31_silu_s8_n25600,,,7.037142,ms,7037142.000000,0,,firesim,silu_s8,n=25600,7037142
11,yolov8_nano$dispatch_11_gemmini_q31_add_s8_n25600,,,1.958822,ms,1958822.000000,0,,firesim,add_s8,n=25600,1958822
12,yolov8_nano$dispatch_12_gemmini_q31_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,4.785357,ms,4785357.000000,0,,firesim,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,4785357
13,yolov8_nano$dispatch_13_gemmini_q31_conv2d_s8_N1xIC48xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,4.135839,ms,4135839.000000,0,,firesim,conv2d_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,4135839
14,yolov8_nano$dispatch_14_gemmini_q31_silu_s8_n51200,,,14.007087,ms,14007087.000000,0,,firesim,silu_s8,n=51200,14007087
15,yolov8_nano$dispatch_15_gemmini_q31_conv2d_s8_N1xIC32xIH40xIW40xOC64xOH20xOW20xKH3xKW3xSH2xSW2xPH1xPW1,,,2.197278,ms,2197278.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2197278
16,yolov8_nano$dispatch_16_gemmini_q31_silu_s8_n25600,,,6.990231,ms,6990231.000000,0,,firesim,silu_s8,n=25600,6990231
