dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,vint_kcov$dispatch_0_gemmini_q31_cast_i8_to_f16_n97920,,,6.826196,ms,6826196.000000,0,,spike,cast_i8_to_f16,n=97920,6826196,1,,
1,vint_kcov$dispatch_1_gemmini_q31_slice_c_f16_N1xIC18xC_start15xC_end18xH64xW85,,,0.195942,ms,195942.000000,0,,spike,slice_c_f16,N=1;IC=18;C_start=15;C_end=18;H=64;W=85,195942,1,,
2,vint_kcov$dispatch_2_gemmini_q31_cast_i8_to_f16_n16320,,,1.137965,ms,1137965.000000,0,,spike,cast_i8_to_f16,n=16320,1137965,1,,
3,vint_kcov$dispatch_3_gemmini_q31_cat2_c1_f16_N1xH64xW85xC_total6xC_inputs3|3,,,0.391751,ms,391751.000000,0,,spike,cat2_c1_f16,N=1;H=64;W=85;C_total=6;C_inputs=3|3,391751,1,,
4,vint_kcov$dispatch_4_gemmini_q31_pad_f16_N1xC6xIH64xIW85xpad_left0xpad_right1xpad_top0xpad_bottom1,,,0.670529,ms,670529.000000,0,,spike,pad_f16,N=1;C=6;IH=64;IW=85;pad_left=0;pad_right=1;pad_top=0;pad_bottom=1,670529,1,,
5,vint_kcov$dispatch_5_gemmini_q31_conv2d_f16_N1xIC6xIH65xIW86xOC32xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1xgroups1,,,297.656414,ms,297656414.000000,0,,spike,conv2d_f16,N=1;IC=6;IH=65;IW=86;OC=32;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1;groups=1,297656414,1,,
6,vint_kcov$dispatch_6_gemmini_q31_batchnorm2d_f16_N1xC32xH32xW42,,,5.128091,ms,5128091.000000,0,,spike,batchnorm2d_f16,N=1;C=32;H=32;W=42,5128091,1,,
7,vint_kcov$dispatch_7_gemmini_q31_sigmoid_f16_n43008,,,7.762336,ms,7762336.000000,0,,spike,sigmoid_f16,n=43008,7762336,1,,
8,vint_kcov$dispatch_8_gemmini_q31_mul_f16_n43008,,,6.706717,ms,6706717.000000,0,,spike,mul_f16,n=43008,6706717,1,,
9,vint_kcov$dispatch_9_gemmini_q31_depthwise_conv2d_f16_N1xIC1xIH32xIW42xOC32xKH3xKW3xSH1xSW1xPH1xPW1xDH1xDW1xgroups32,,,48.046074,ms,48046074.000000,0,,spike,depthwise_conv2d_f16,N=1;IC=1;IH=32;IW=42;OC=32;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1;DH=1;DW=1;groups=32,48046074,1,,
10,vint_kcov$dispatch_10_gemmini_q31_batchnorm2d_f16_N1xC32xH32xW42,,,5.123801,ms,5123801.000000,0,,spike,batchnorm2d_f16,N=1;C=32;H=32;W=42,5123801,1,,
11,vint_kcov$dispatch_11_gemmini_q31_sigmoid_f16_n43008,,,7.776254,ms,7776254.000000,0,,spike,sigmoid_f16,n=43008,7776254,1,,
12,vint_kcov$dispatch_12_gemmini_q31_mul_f16_n43008,,,6.706958,ms,6706958.000000,0,,spike,mul_f16,n=43008,6706958,1,,
13,vint_kcov$dispatch_13_gemmini_q31_adaptive_avg_pool2d_f16_N1xC32xIH32xIW42xOH1xOW1,,,3.283266,ms,3283266.000000,0,,spike,adaptive_avg_pool2d_f16,N=1;C=32;IH=32;IW=42;OH=1;OW=1,3283266,1,,
14,vint_kcov$dispatch_14_gemmini_q31_conv2d_f16_N1xIC32xIH1xIW1xOC8xKH1xKW1xSH1xSW1xPH0xPW0xDH1xDW1xgroups1,,,0.038591,ms,38591.000000,0,,spike,conv2d_f16,N=1;IC=32;IH=1;IW=1;OC=8;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,38591,1,,
15,vint_kcov$dispatch_15_gemmini_q31_sigmoid_f16_n8,,,0.001490,ms,1490.000000,0,,spike,sigmoid_f16,n=8,1490,1,,
16,vint_kcov$dispatch_16_gemmini_q31_mul_f16_n8,,,0.001288,ms,1288.000000,0,,spike,mul_f16,n=8,1288,1,,
17,vint_kcov$dispatch_17_gemmini_q31_conv2d_f16_N1xIC8xIH1xIW1xOC32xKH1xKW1xSH1xSW1xPH0xPW0xDH1xDW1xgroups1,,,0.042575,ms,42575.000000,0,,spike,conv2d_f16,N=1;IC=8;IH=1;IW=1;OC=32;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,42575,1,,
18,vint_kcov$dispatch_18_gemmini_q31_sigmoid_f16_n32,,,0.005575,ms,5575.000000,0,,spike,sigmoid_f16,n=32,5575,1,,
19,vint_kcov$dispatch_19_gemmini_q31_mul_c1_f16_N1xC32xHW1344,,,4.946895,ms,4946895.000000,0,,spike,mul_c1_f16,N=1;C=32;HW=1344,4946895,1,,
