dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,vint_kcovref$dispatch_0_rvv_cast_i8_to_f16_n97920,,,0.040054,ms,40054.000000,0,,spike,cast_i8_to_f16,n=97920,40054,1,,
1,vint_kcovref$dispatch_1_rvv_slice_c_f16_N1xIC18xC_start15xC_end18xH64xW85,,,0.003116,ms,3116.000000,0,,spike,slice_c_f16,N=1;IC=18;C_start=15;C_end=18;H=64;W=85,3116,1,,
2,vint_kcovref$dispatch_2_rvv_cast_i8_to_f16_n16320,,,0.006647,ms,6647.000000,0,,spike,cast_i8_to_f16,n=16320,6647,1,,
3,vint_kcovref$dispatch_3_rvv_cat2_c1_f16_N1xH64xW85xC_total6xC_inputs3|3,,,0.005913,ms,5913.000000,0,,spike,cat2_c1_f16,N=1;H=64;W=85;C_total=6;C_inputs=3|3,5913,1,,
4,vint_kcovref$dispatch_4_rvv_pad_f16_N1xC6xIH64xIW85xpad_left0xpad_right1xpad_top0xpad_bottom1,,,0.019478,ms,19478.000000,0,,spike,pad_f16,N=1;C=6;IH=64;IW=85;pad_left=0;pad_right=1;pad_top=0;pad_bottom=1,19478,1,,
5,vint_kcovref$dispatch_5_rvv_conv2d_f16_N1xIC6xIH65xIW86xOC32xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1xgroups1,,,1.262179,ms,1262179.000000,0,,spike,conv2d_f16,N=1;IC=6;IH=65;IW=86;OC=32;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1;groups=1,1262179,1,,
6,vint_kcovref$dispatch_6_rvv_batchnorm2d_f16_N1xC32xH32xW42,,,0.020573,ms,20573.000000,0,,spike,batchnorm2d_f16,N=1;C=32;H=32;W=42,20573,1,,
7,vint_kcovref$dispatch_7_rvv_sigmoid_f16_n43008,,,0.104868,ms,104868.000000,0,,spike,sigmoid_f16,n=43008,104868,1,,
8,vint_kcovref$dispatch_8_rvv_mul_f16_n43008,,,0.008750,ms,8750.000000,0,,spike,mul_f16,n=43008,8750,1,,
9,vint_kcovref$dispatch_9_rvv_depthwise_conv2d_f16_N1xIC1xIH32xIW42xOC32xKH3xKW3xSH1xSW1xPH1xPW1xDH1xDW1xgroups32,,,0.521216,ms,521216.000000,0,,spike,depthwise_conv2d_f16,N=1;IC=1;IH=32;IW=42;OC=32;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1;DH=1;DW=1;groups=32,521216,1,,
10,vint_kcovref$dispatch_10_rvv_batchnorm2d_f16_N1xC32xH32xW42,,,0.020573,ms,20573.000000,0,,spike,batchnorm2d_f16,N=1;C=32;H=32;W=42,20573,1,,
11,vint_kcovref$dispatch_11_rvv_sigmoid_f16_n43008,,,0.104868,ms,104868.000000,0,,spike,sigmoid_f16,n=43008,104868,1,,
12,vint_kcovref$dispatch_12_rvv_mul_f16_n43008,,,0.008750,ms,8750.000000,0,,spike,mul_f16,n=43008,8750,1,,
13,vint_kcovref$dispatch_13_rvv_adaptive_avg_pool2d_f16_N1xC32xIH32xIW42xOH1xOW1,,,0.042885,ms,42885.000000,0,,spike,adaptive_avg_pool2d_f16,N=1;C=32;IH=32;IW=42;OH=1;OW=1,42885,1,,
14,vint_kcovref$dispatch_14_rvv_conv2d_f16_N1xIC32xIH1xIW1xOC8xKH1xKW1xSH1xSW1xPH0xPW0xDH1xDW1xgroups1,,,0.000623,ms,623.000000,0,,spike,conv2d_f16,N=1;IC=32;IH=1;IW=1;OC=8;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,623,1,,
15,vint_kcovref$dispatch_15_rvv_sigmoid_f16_n8,,,0.000074,ms,74.000000,0,,spike,sigmoid_f16,n=8,74,1,,
