dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano_kcov$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,4.134878,ms,4134878.000000,0,,spike,conv2d_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,4134878,1,,
1,yolov8_nano_kcov$dispatch_1_gemmini_q31_silu_s8_n102400,,,12.024253,ms,12024253.000000,0,,spike,silu_s8,n=102400,12024253,1,,
2,yolov8_nano_kcov$dispatch_2_gemmini_q31_conv2d_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,2.914669,ms,2914669.000000,0,,spike,conv2d_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2914669,1,,
3,yolov8_nano_kcov$dispatch_3_gemmini_q31_silu_s8_n51200,,,5.798574,ms,5798574.000000,0,,spike,silu_s8,n=51200,5798574,1,,
4,yolov8_nano_kcov$dispatch_4_gemmini_q31_conv2d_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,2.157164,ms,2157164.000000,0,,spike,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,2157164,1,,
5,yolov8_nano_kcov$dispatch_5_gemmini_q31_silu_s8_n51200,,,5.888311,ms,5888311.000000,0,,spike,silu_s8,n=51200,5888311,1,,
7,yolov8_nano_kcov$dispatch_7_gemmini_q31_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,1.170027,ms,1170027.000000,0,,spike,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1170027,1,,
8,yolov8_nano_kcov$dispatch_8_gemmini_q31_silu_s8_n25600,,,2.989352,ms,2989352.000000,0,,spike,silu_s8,n=25600,2989352,1,,
9,yolov8_nano_kcov$dispatch_9_gemmini_q31_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,1.170027,ms,1170027.000000,0,,spike,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1170027,1,,
10,yolov8_nano_kcov$dispatch_10_gemmini_q31_silu_s8_n25600,,,3.013756,ms,3013756.000000,0,,spike,silu_s8,n=25600,3013756,1,,
