dispatch_id,name,op,shape,cycles
0,l0.conv,conv2d_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2582949
1,l0.bn,batchnorm2d_s8,N=1;C=16;H=80;W=80,127142
2,l0.act,silu_s8,n=102400,1351450
3,l1.conv,conv2d_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2746991
4,l1.bn,batchnorm2d_s8,N=1;C=32;H=40;W=40,63323
5,l1.act,silu_s8,n=51200,691150
6,l2.cv1.conv,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1284348
7,l2.cv1.bn,batchnorm2d_s8,N=1;C=32;H=40;W=40,63221
8,l2.cv1.act,silu_s8,n=51200,695378
10,l2.m0.cv1.conv,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2837132
11,l2.m0.cv1.bn,batchnorm2d_s8,N=1;C=16;H=40;W=40,31656
12,l2.m0.cv1.act,silu_s8,n=25600,393109
13,l2.m0.cv2.conv,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2835700
14,l2.m0.cv2.bn,batchnorm2d_s8,N=1;C=16;H=40;W=40,31702
15,l2.m0.cv2.act,silu_s8,n=25600,393050
16,add,add_s8,n=25600,46677
17,cat,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,124191
18,l2.cv2.conv,conv2d_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1768355
19,l2.cv2.bn,batchnorm2d_s8,N=1;C=32;H=40;W=40,63349
20,l2.cv2.act,silu_s8,n=51200,718666
21,l3.conv,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2793614
22,l3.bn,batchnorm2d_s8,N=1;C=64;H=20;W=20,33367
23,l3.act,silu_s8,n=25600,393135
24,l4.cv1.conv,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1122376
25,l4.cv1.bn,batchnorm2d_s8,N=1;C=64;H=20;W=20,33277
26,l4.cv1.act,silu_s8,n=25600,393273
28,l4.m0.cv1.conv,conv2d_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1626890
29,l4.m0.cv1.bn,batchnorm2d_s8,N=1;C=32;H=20;W=20,16725
30,l4.m0.cv1.act,silu_s8,n=12800,231709
31,l4.m0.cv2.conv,conv2d_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1623123
32,l4.m0.cv2.bn,batchnorm2d_s8,N=1;C=32;H=20;W=20,16925
33,l4.m0.cv2.act,silu_s8,n=12800,231385
34,add_1,add_s8,n=12800,23290
35,l4.m1.cv1.conv,conv2d_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1625346
36,l4.m1.cv1.bn,batchnorm2d_s8,N=1;C=32;H=20;W=20,16878
37,l4.m1.cv1.act,silu_s8,n=12800,231339
38,l4.m1.cv2.conv,conv2d_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1625228
39,l4.m1.cv2.bn,batchnorm2d_s8,N=1;C=32;H=20;W=20,16794
40,l4.m1.cv2.act,silu_s8,n=12800,231574
41,add_2,add_s8,n=12800,23400
42,cat_1,cat4_c1_s8,N=1;H=20;W=20;C_inputs=32|32|32|32;C_total=128,90809
43,l4.cv2.conv,conv2d_s8,N=1;IC=128;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,2087281
44,l4.cv2.bn,batchnorm2d_s8,N=1;C=64;H=20;W=20,33302
45,l4.cv2.act,silu_s8,n=25600,392819
46,l5.conv,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=128;OH=10;OW=10;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,3467293
47,l5.bn,batchnorm2d_s8,N=1;C=128;H=10;W=10,19213
48,l5.act,silu_s8,n=12800,231978
