entry_id,network,instance,dispatch_id,op,name,kind,hart,actual_start_ms,actual_end_ms,actual_duration_ms
0,yolov8_nano,0,0,,,gemmini_q31,0,199.597000,210.528000,10.931000
1,yolov8_nano,0,1,,,gemmini_q31,0,210.528000,238.772000,28.244000
2,yolov8_nano,0,2,,,gemmini_q31,0,238.772000,243.176000,4.404000
3,yolov8_nano,0,3,,,gemmini_q31,0,243.176000,256.800000,13.624000
4,yolov8_nano,0,4,,,gemmini_q31,0,256.800000,259.830000,3.030000
5,yolov8_nano,0,5,,,gemmini_q31,0,259.830000,273.558000,13.728000
6,yolov8_nano,0,6,,,gemmini_q31,0,273.558000,276.370000,2.812000
7,yolov8_nano,0,7,,,gemmini_q31,0,276.370000,283.399000,7.029000
8,yolov8_nano,0,8,,,gemmini_q31,0,283.399000,286.195000,2.796000
9,yolov8_nano,0,9,,,gemmini_q31,0,286.195000,293.261000,7.066000
10,yolov8_nano,0,10,,,gemmini_q31,0,293.261000,294.087000,0.826000
11,yolov8_nano,0,11,,,gemmini_q31,0,294.087000,294.925000,0.838000
12,yolov8_nano,0,12,,,gemmini_q31,0,294.926000,298.169000,3.243000
13,yolov8_nano,0,13,,,gemmini_q31,0,298.169000,312.234000,14.065000
14,yolov8_nano,0,14,,,gemmini_q31,0,312.234000,314.118000,1.884000
15,yolov8_nano,0,15,,,gemmini_q31,0,314.119000,321.132000,7.013000
16,yolov8_nano,0,16,,,gemmini_q31,0,321.133000,322.469000,1.336000
17,yolov8_nano,0,17,,,gemmini_q31,0,322.469000,329.403000,6.934000
18,yolov8_nano,0,18,,,gemmini_q31,0,329.404000,330.469000,1.065000
19,yolov8_nano,0,19,,,gemmini_q31,0,330.470000,333.809000,3.339000
20,yolov8_nano,0,20,,,gemmini_q31,0,333.809000,334.870000,1.061000
21,yolov8_nano,0,21,,,gemmini_q31,0,334.870000,338.288000,3.418000
22,yolov8_nano,0,22,,,gemmini_q31,0,338.288000,338.707000,0.419000
23,yolov8_nano,0,23,,,gemmini_q31,0,338.708000,339.786000,1.078000
24,yolov8_nano,0,24,,,gemmini_q31,0,339.787000,343.148000,3.361000
25,yolov8_nano,0,25,,,gemmini_q31,0,343.148000,344.203000,1.055000
26,yolov8_nano,0,26,,,gemmini_q31,0,344.203000,347.722000,3.519000
27,yolov8_nano,0,27,,,gemmini_q31,0,347.722000,348.138000,0.416000
28,yolov8_nano,0,28,,,gemmini_q31,0,348.138000,348.712000,0.574000
29,yolov8_nano,0,29,,,gemmini_q31,0,348.712000,350.295000,1.583000
30,yolov8_nano,0,30,,,gemmini_q31,0,350.295000,357.104000,6.809000
31,yolov8_nano,0,31,,,gemmini_q31,0,357.104000,358.048000,0.944000
32,yolov8_nano,0,32,,,gemmini_q31,0,358.048000,361.482000,3.434000
33,yolov8_nano,0,33,,,gemmini_q31,0,361.482000,362.156000,0.674000
34,yolov8_nano,0,34,,,gemmini_q31,0,362.156000,365.577000,3.421000
35,yolov8_nano,0,35,,,gemmini_q31,0,365.577000,366.064000,0.487000
36,yolov8_nano,0,36,,,gemmini_q31,0,366.065000,367.756000,1.691000
