entry_id,network,instance,dispatch_id,op,name,kind,hart,actual_start_ms,actual_end_ms,actual_duration_ms
0,dronet,0,0,,,rvv,2,330.806000,332.328000,1.522000
1,dronet,0,1,,,rvv,2,332.329000,332.552000,0.223000
2,dronet,0,2,,,rvv,2,332.553000,332.584000,0.031000
3,dronet,0,3,,,rvv,2,332.585000,333.428000,0.843000
4,dronet,0,4,,,rvv,2,333.428000,334.264000,0.836000
5,dronet,0,5,,,rvv,2,334.265000,334.444000,0.179000
6,dronet,0,6,,,rvv,2,334.444000,334.456000,0.012000
7,dronet,0,7,,,rvv,2,334.456000,334.465000,0.009000
8,dronet,0,8,,,rvv,2,334.465000,335.046000,0.581000
9,dronet,0,9,,,rvv,2,335.046000,336.152000,1.106000
10,dronet,0,10,,,rvv,2,336.152000,336.264000,0.112000
11,dronet,0,11,,,rvv,2,336.265000,336.271000,0.006000
12,dronet,0,12,,,rvv,2,336.271000,336.276000,0.005000
13,dronet,0,13,,,rvv,2,336.277000,336.931000,0.654000
14,dronet,0,14,,,rvv,2,336.931000,338.223000,1.292000
15,dronet,0,15,,,rvv,2,338.223000,338.315000,0.092000
16,dronet,0,16,,,rvv,2,338.315000,338.319000,0.004000
17,dronet,0,17,,,rvv,2,338.319000,338.320000,0.001000
18,dronet,0,18,,,rvv,2,338.320000,338.323000,0.003000
19,dronet,0,19,,,rvv,2,338.323000,338.325000,0.002000
20,dronet,0,20,,,rvv,2,338.325000,338.326000,0.001000
21,mlp_control,0,0,,,rvv,2,338.327000,338.382000,0.055000
22,mlp_control,0,1,,,rvv,2,338.383000,338.408000,0.025000
23,mlp_control,0,2,,,rvv,2,338.409000,338.789000,0.380000
24,mlp_control,0,3,,,rvv,2,338.790000,338.805000,0.015000
25,mlp_control,0,4,,,rvv,2,338.806000,338.902000,0.096000
26,mlp_control,0,5,,,rvv,2,338.902000,338.909000,0.007000
27,mlp_control,0,6,,,rvv,2,338.909000,338.913000,0.004000
28,mlp_control,1,0,,,rvv,2,338.913000,338.959000,0.046000
29,mlp_control,1,1,,,rvv,2,338.959000,338.984000,0.025000
30,mlp_control,1,2,,,rvv,2,338.984000,339.291000,0.307000
31,mlp_control,1,3,,,rvv,2,339.291000,339.307000,0.016000
32,mlp_control,1,4,,,rvv,2,339.307000,339.383000,0.076000
33,mlp_control,1,5,,,rvv,2,339.383000,339.389000,0.006000
34,mlp_control,1,6,,,rvv,2,339.390000,339.392000,0.002000
35,dronet,1,0,,,rvv,2,396.959000,398.485000,1.526000
36,dronet,1,1,,,rvv,2,398.486000,398.710000,0.224000
37,dronet,1,2,,,rvv,2,398.710000,398.740000,0.030000
38,dronet,1,3,,,rvv,2,398.740000,399.584000,0.844000
39,dronet,1,4,,,rvv,2,399.584000,400.422000,0.838000
40,dronet,1,5,,,rvv,2,400.422000,400.602000,0.180000
41,dronet,1,6,,,rvv,2,400.602000,400.614000,0.012000
42,dronet,1,7,,,rvv,2,400.614000,400.623000,0.009000
43,dronet,1,8,,,rvv,2,400.623000,401.204000,0.581000
