dispatch_id,name,op,shape,cycles
0,linear,linear_f16,M=16;K=768;N=384,47297002
1,add,add_f16,n=6144,67599
2,cat,cat2_c1_f16,N=1;H=256;W=256;C_total=6;C_inputs=3|3,4718662
3,conv2d,conv2d_f16,N=1;IC=6;IH=256;IW=256;OC=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,677535103
4,layer_norm,layer_norm_f16,M=32;K=16384,13107891
5,mul,mul_c1_f16,N=1;C=32;HW=16384,4718938
6,add_1,add_c1_f16,N=1;C=32;HW=16384,4718942
7,relu,relu_f16,n=524288,6591652
8,conv2d_1,conv2d_f16,N=1;IC=32;IH=128;IW=128;OC=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,2667517951
9,layer_norm_1,layer_norm_f16,M=32;K=12288,9831091
10,mul_1,mul_c1_f16,N=1;C=96;HW=4096,3539930
11,add_2,add_c1_f16,N=1;C=96;HW=4096,3539934
12,relu_1,relu_f16,n=393216,4922974
13,conv2d_2,conv2d_f16,N=1;IC=96;IH=64;IW=64;OC=192;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,3963578239
14,layer_norm_2,layer_norm_f16,M=32;K=6144,4915892
15,mul_2,mul_c1_f16,N=1;C=192;HW=1024,1771418
16,add_3,add_c1_f16,N=1;C=192;HW=1024,1771422
17,relu_2,relu_f16,n=196608,2451824
18,conv2d_3,conv2d_f16,N=1;IC=192;IH=32;IW=32;OC=384;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,3901736575
19,layer_norm_3,layer_norm_f16,M=32;K=3072,2458292
20,mul_3,mul_c1_f16,N=1;C=384;HW=256,888602
21,add_4,add_c1_f16,N=1;C=384;HW=256,888606
22,relu_3,relu_f16,n=98304,1217449
23,conv2d_4,conv2d_f16,N=1;IC=384;IH=16;IW=16;OC=512;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,2066221181
24,permute,permute4_f16,d0=1;d1=512;d2=16;d3=16;p0=0;p1=2;p2=3;p3=1,920579
25,linear_1,linear_f16,M=256;K=512;N=384,505089304
26,slice_1,slice_c_f16,N=1;IC=10;C_start=0;C_end=1;H=256;W=384,1179726
27,add_5,add_f16,n=98304,1081358
28,cat_1,cat2_c1_f16,N=1;H=128;W=128;C_total=6;C_inputs=3|3,1179720
29,conv2d_5,conv2d_f16,N=1;IC=6;IH=128;IW=128;OC=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,168768895
30,layer_norm_4,layer_norm_f16,M=32;K=4096,3277491
31,mul_4,mul_c1_f16,N=1;C=32;HW=4096,1179994
32,add_6,add_c1_f16,N=1;C=32;HW=4096,1179998
33,relu_4,relu_f16,n=131072,1644263
34,conv2d_6,conv2d_f16,N=1;IC=32;IH=64;IW=64;OC=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,661873663
35,layer_norm_5,layer_norm_f16,M=32;K=3072,2458292
36,mul_5,mul_c1_f16,N=1;C=96;HW=1024,885722
37,add_7,add_c1_f16,N=1;C=96;HW=1024,885726
38,relu_5,relu_f16,n=98304,1224837
39,conv2d_7,conv2d_f16,N=1;IC=96;IH=32;IW=32;OC=192;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,975926143
40,layer_norm_6,layer_norm_f16,M=32;K=1536,1229491
41,mul_6,mul_c1_f16,N=1;C=192;HW=256,444314
42,add_8,add_c1_f16,N=1;C=192;HW=256,444318
43,relu_6,relu_f16,n=49152,611878
44,conv2d_8,conv2d_f16,N=1;IC=192;IH=16;IW=16;OC=384;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,945861247
45,layer_norm_7,layer_norm_f16,M=32;K=768,615091
46,mul_7,mul_c1_f16,N=1;C=384;HW=64,225050
47,add_9,add_c1_f16,N=1;C=384;HW=64,225054
48,relu_7,relu_f16,n=24576,304624
49,conv2d_9,conv2d_f16,N=1;IC=384;IH=8;IW=8;OC=512;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,516593789
50,permute_1,permute4_f16,d0=1;d1=512;d2=8;d3=8;p0=0;p1=2;p2=3;p3=1,230275
