dispatch_id,name,op,shape,cycles
0,linear,linear_s8_pc,M=16;K=768;N=384,71000309
1,add,add_s8,n=6144,263352
2,cat,cat2_c1_s8,N=2;H=256;W=256;C_total=6;C_inputs=3|3,40894718
3,conv2d,conv2d_s8_pc,N=2;IC=6;IH=256;IW=256;OC=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,1550271075
4,layer_norm,layer_norm_s8,M=64;K=16384,70711016
5,mul,mul_c1_s8,N=2;C=32;HW=16384,21455504
6,add_1,add_c1_s8,N=2;C=32;HW=16384,20363282
7,relu,relu_s8,n=1048576,12996550
8,conv2d_1,conv2d_s8_pc,N=2;IC=32;IH=128;IW=128;OC=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,6047564005
9,layer_norm_1,layer_norm_s8,M=64;K=12288,52909776
10,mul_1,mul_c1_s8,N=2;C=96;HW=4096,16075824
11,add_2,add_c1_s8,N=2;C=96;HW=4096,15326936
12,relu_1,relu_s8,n=786432,9796710
13,conv2d_2,conv2d_s8_pc,N=2;IC=96;IH=64;IW=64;OC=192;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,8970473661
14,layer_norm_2,layer_norm_s8,M=64;K=6144,26592895
15,mul_2,mul_c1_s8,N=2;C=192;HW=1024,8042038
16,add_3,add_c1_s8,N=2;C=192;HW=1024,7681904
17,relu_2,relu_s8,n=393216,4918204
18,conv2d_3,conv2d_s8_pc,N=2;IC=192;IH=32;IW=32;OC=384;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,8822157495
19,layer_norm_3,layer_norm_s8,M=64;K=3072,13324749
20,mul_3,mul_c1_s8,N=2;C=384;HW=256,4039294
21,add_4,add_c1_s8,N=2;C=384;HW=256,3864620
22,relu_3,relu_s8,n=196608,2478226
23,conv2d_4,conv2d_s8_pc,N=2;IC=384;IH=16;IW=16;OC=512;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,4540088508
24,permute,permute4_s8,d0=2;d1=512;d2=16;d3=16;p0=0;p1=2;p2=3;p3=1,2889091
25,linear_1,linear_s8_pc,M=512;K=512;N=384,1517033033
26,slice_1,slice_c_s8,N=1;IC=10;C_start=0;C_end=2;H=256;W=384,9805182
27,add_5,add_s8,n=196608,8403054
