arm,hart,variant,dir,group,N,C,H,W,bytes,cold,warm,err
A,0,ref_scalar,n2h,spec,1,3,112,112,37632,282562,279982,0
A,0,ref_scalar,h2n,spec,1,3,112,112,37632,227731,227246,0
A,0,ref_scalar,n2h,spec,1,32,56,56,100352,1962600,1950056,0
A,0,ref_scalar,h2n,spec,1,32,56,56,100352,1173063,1172633,0
A,0,ref_scalar,n2h,spec,1,32,27,27,23328,344080,339937,0
A,0,ref_scalar,h2n,spec,1,32,27,27,23328,223206,222963,0
A,0,ref_scalar,n2h,spec,1,32,14,14,6272,47735,45089,0
A,0,ref_scalar,h2n,spec,1,32,14,14,6272,39637,38284,0
A,0,ref_scalar,n2h,spec,1,64,7,7,3136,24713,24327,0
A,0,ref_scalar,h2n,spec,1,64,7,7,3136,20825,20747,0
A,0,ref_scalar,n2h,spec,1,128,4,4,2048,20107,20026,0
A,0,ref_scalar,h2n,spec,1,128,4,4,2048,17987,17978,0
A,0,ref_scalar,n2h,spec,1,1,1,1,1,93,81,0
A,0,ref_scalar,h2n,spec,1,1,1,1,1,114,74,0
A,0,ref_scalar,n2h,spec,1,7,5,3,105,1296,1278,0
A,0,ref_scalar,h2n,spec,1,7,5,3,105,1156,1137,0
A,0,ref_scalar,n2h,csweep,1,2,112,56,12544,88533,85369,0
A,0,ref_scalar,h2n,csweep,1,2,112,56,12544,73106,72141,0
A,0,ref_scalar,n2h,csweep,1,3,112,37,12432,91494,87946,0
A,0,ref_scalar,h2n,csweep,1,3,112,37,12432,74799,73689,0
A,0,ref_scalar,n2h,csweep,1,4,56,56,12544,92457,86912,0
A,0,ref_scalar,h2n,csweep,1,4,56,56,12544,74116,73266,0
A,0,ref_scalar,n2h,csweep,1,7,56,32,12544,96410,91162,0
A,0,ref_scalar,h2n,csweep,1,7,56,32,12544,76931,76033,0
A,0,ref_scalar,n2h,csweep,1,8,56,28,12544,99498,91429,0
A,0,ref_scalar,h2n,csweep,1,8,56,28,12544,77856,77253,0
A,0,ref_scalar,n2h,csweep,1,16,28,28,12544,99793,91968,0
A,0,ref_scalar,h2n,csweep,1,16,28,28,12544,78167,77158,0
A,0,ref_scalar,n2h,csweep,1,32,28,14,12544,107227,99184,0
A,0,ref_scalar,h2n,csweep,1,32,28,14,12544,85367,84233,0
A,0,ref_scalar,n2h,csweep,1,64,14,14,12544,108083,99326,0
A,0,ref_scalar,h2n,csweep,1,64,14,14,12544,85702,84380,0
A,0,ref_scalar,n2h,csweep,1,128,14,7,12544,110924,106842,0
A,0,ref_scalar,h2n,csweep,1,128,14,7,12544,91609,90500,0
A,0,gem_tb32,n2h,spec,1,3,112,112,37632,312408,310062,0
A,0,gem_tb32,h2n,spec,1,3,112,112,37632,235506,234516,0
A,0,gem_tb32,n2h,spec,1,32,56,56,100352,811280,806845,0
A,0,gem_tb32,h2n,spec,1,32,56,56,100352,602464,602545,0
A,0,gem_tb32,n2h,spec,1,32,27,27,23328,190422,186792,0
A,0,gem_tb32,h2n,spec,1,32,27,27,23328,139651,139650,0
A,0,gem_tb32,n2h,spec,1,32,14,14,6272,49325,47054,0
A,0,gem_tb32,h2n,spec,1,32,14,14,6272,35859,34450,0
A,0,gem_tb32,n2h,spec,1,64,7,7,3136,24058,23663,0
A,0,gem_tb32,h2n,spec,1,64,7,7,3136,17556,17401,0
A,0,gem_tb32,n2h,spec,1,128,4,4,2048,16066,16033,0
A,0,gem_tb32,h2n,spec,1,128,4,4,2048,11951,11938,0
A,0,gem_tb32,n2h,spec,1,1,1,1,1,132,100,0
A,0,gem_tb32,h2n,spec,1,1,1,1,1,103,97,0
A,0,gem_tb32,n2h,spec,1,7,5,3,105,929,912,0
A,0,gem_tb32,h2n,spec,1,7,5,3,105,737,702,0
A,0,gem_tb32,n2h,csweep,1,2,112,56,12544,105245,103385,0
A,0,gem_tb32,h2n,csweep,1,2,112,56,12544,79127,78249,0
A,0,gem_tb32,n2h,csweep,1,3,112,37,12432,103209,100865,0
