grant,A_queued,B_sent,C_rsp_recv,D_rsp_seen,send_ms(B-A),rtt_ms(C-B),pickup_ms(D-C),total_ms(D-A)
0,78690.204103,78690.250597,78690.260817,78690.260870,46.494,10.220,0.053,56.766
1,78690.260932,78690.266983,78690.277192,78690.277237,6.051,10.209,0.045,16.305
2,78690.277288,78690.283343,78690.293535,78690.293565,6.055,10.193,0.030,16.277
3,78690.293603,78690.299673,78690.309892,78690.309927,6.070,10.218,0.036,16.324
4,78690.309973,78690.315944,78690.331256,78690.331294,5.971,15.312,0.038,21.322
5,78690.331334,78690.337408,78690.347614,78690.347641,6.074,10.206,0.027,16.307
6,78690.347656,78690.353758,78690.363947,78690.363972,6.102,10.189,0.025,16.316
7,78690.363987,78690.370086,78690.385346,78690.385379,6.099,15.260,0.033,21.392
8,78690.385395,78690.391511,78690.401735,78690.401774,6.117,10.224,0.038,16.379
9,78690.401804,78690.407909,78690.418127,78690.418161,6.105,10.218,0.035,16.357
10,78690.418189,78690.424282,78690.439575,78690.439602,6.093,15.293,0.026,21.413
11,78690.439623,78690.445726,78690.461005,78690.461030,6.103,15.279,0.025,21.408
12,78690.461049,78690.467152,78690.482433,78690.482463,6.104,15.281,0.030,21.414
13,78690.482486,78690.488590,78690.503845,78690.503870,6.104,15.256,0.025,21.385
14,78690.503885,78690.509986,78690.520192,78690.520220,6.102,10.206,0.029,16.336
15,78690.520231,78690.526336,78690.536532,78690.536554,6.106,10.195,0.023,16.324
16,78690.536562,78690.542687,78690.552892,78690.552916,6.125,10.205,0.025,16.355
17,78690.552931,78690.559031,78690.569215,78690.569241,6.099,10.185,0.025,16.309
18,78690.569252,78690.575356,78690.585540,78690.585560,6.104,10.184,0.020,16.308
19,78690.585567,78690.591682,78690.601863,78690.601884,6.115,10.181,0.021,16.317
20,78690.601908,78690.608021,78690.623266,78690.623291,6.114,15.245,0.025,21.383
21,78690.623305,78690.629419,78690.639606,78690.639629,6.114,10.187,0.023,16.324
22,78690.639644,78690.645745,78690.655922,78690.655942,6.101,10.177,0.020,16.298
23,78690.655951,78690.662025,78690.672234,78690.672256,6.074,10.209,0.022,16.305
24,78690.672268,78690.678381,78690.688566,78690.688606,6.113,10.185,0.039,16.338
25,78690.688632,78690.693693,78690.703880,78690.703906,5.061,10.187,0.026,15.274
26,78690.703920,78690.710024,78690.725327,78690.725351,6.104,15.303,0.024,21.432
27,78690.725363,78690.731486,78690.741673,78690.741697,6.123,10.186,0.025,16.334
28,78690.741717,78690.747810,78690.757998,78690.758024,6.093,10.188,0.027,16.307
29,78690.758038,78690.764145,78690.774323,78690.774344,6.106,10.178,0.022,16.306
30,78690.774360,78690.780459,78690.790637,78690.790656,6.099,10.178,0.019,16.296
31,78690.790667,78690.796774,78690.812015,78690.812036,6.106,15.241,0.021,21.369
32,78690.812046,78690.818157,78690.828338,78690.828356,6.111,10.181,0.018,16.311
33,78690.828366,78690.834482,78690.854807,78690.854833,6.116,20.324,0.026,26.467
34,78690.854845,78690.860954,78690.871169,78690.871195,6.109,10.215,0.026,16.350
35,78690.871205,78690.877313,78690.887514,78690.887543,6.108,10.201,0.030,16.338
36,78690.887564,78690.893670,78690.913987,78690.914038,6.106,20.316,0.052,26.474
37,78690.914064,78690.920154,78690.930343,78690.930368,6.090,10.189,0.025,16.304
38,78690.930385,78690.936479,78690.946676,78690.946704,6.094,10.198,0.027,16.319
39,78690.946722,78690.952832,78690.963018,78690.963042,6.110,10.185,0.024,16.319
40,78690.963083,78690.969158,78690.979360,78690.979386,6.075,10.202,0.026,16.304
41,78690.979419,78690.985508,78690.995702,78690.995730,6.089,10.194,0.027,16.310
42,78690.995759,78691.001843,78691.012030,78691.012079,6.083,10.187,0.049,16.320
