grant,A_queued,B_sent,C_rsp_recv,D_rsp_seen,send_ms(B-A),rtt_ms(C-B),pickup_ms(D-C),total_ms(D-A)
0,78695.281429,78695.427026,78695.437226,78695.437281,145.598,10.200,0.055,155.852
1,78695.437343,78695.542475,78695.552699,78695.552764,105.131,10.224,0.065,115.421
2,78695.552815,78695.657941,78695.668127,78695.668174,105.126,10.186,0.047,115.359
3,78695.668218,78695.773342,78695.788646,78695.788696,105.124,15.305,0.050,120.479
4,78695.788745,78695.893886,78695.909205,78695.909256,105.141,15.319,0.051,120.511
5,78695.909303,78696.014454,78696.024685,78696.024735,105.151,10.230,0.051,115.432
6,78696.024781,78696.129915,78696.140134,78696.140186,105.135,10.219,0.052,115.405
7,78696.140226,78696.245389,78696.260722,78696.260786,105.163,15.332,0.064,120.560
8,78696.260832,78696.365991,78696.376280,78696.376349,105.158,10.289,0.069,115.516
9,78696.376397,78696.481545,78696.496906,78696.496968,105.148,15.360,0.062,120.570
10,78696.497032,78696.602105,78696.617404,78696.617460,105.074,15.299,0.057,120.429
11,78696.617508,78696.722575,78696.732819,78696.732878,105.066,10.245,0.059,115.370
12,78696.732927,78696.838042,78696.853322,78696.853374,105.115,15.280,0.052,120.447
13,78696.853420,78696.958550,78696.968768,78696.968815,105.130,10.218,0.047,115.394
14,78696.968863,78697.073971,78697.084223,78697.084295,105.107,10.252,0.072,115.431
15,78697.084351,78697.189491,78697.204768,78697.204827,105.140,15.277,0.060,120.476
16,78697.204875,78697.310032,78697.320294,78697.320353,105.157,10.262,0.059,115.478
17,78697.320402,78697.425545,78697.435819,78697.435879,105.143,10.274,0.060,115.477
18,78697.435927,78697.541051,78697.551364,78697.551439,105.123,10.313,0.076,115.512
19,78697.551499,78697.656595,78697.671922,78697.671974,105.096,15.327,0.052,120.475
20,78697.672042,78697.777171,78697.787466,78697.787517,105.129,10.295,0.051,115.475
21,78697.787560,78697.892636,78697.902877,78697.902937,105.076,10.241,0.059,115.376
22,78697.902994,78698.008130,78698.018379,78698.018438,105.136,10.249,0.058,115.443
23,78698.018485,78698.123621,78698.133857,78698.133907,105.136,10.236,0.051,115.422
24,78698.133953,78698.239039,78698.249302,78698.249368,105.086,10.264,0.066,115.416
25,78698.249422,78698.254479,78698.269790,78698.269846,5.057,15.311,0.057,20.425
26,78698.269883,78698.375051,78698.385346,78698.385403,105.168,10.295,0.057,115.521
27,78698.385444,78698.490521,78698.500799,78698.500855,105.077,10.278,0.055,115.410
28,78698.500912,78698.606053,78698.616338,78698.616390,105.141,10.285,0.052,115.478
29,78698.616438,78698.721599,78698.731913,78698.731991,105.161,10.314,0.078,115.552
30,78698.732042,78698.837122,78698.847381,78698.847443,105.080,10.259,0.062,115.401
31,78698.847492,78698.952565,78698.962838,78698.962892,105.073,10.273,0.055,115.401
32,78698.962940,78699.068046,78699.083368,78699.083420,105.105,15.322,0.052,120.480
33,78699.083469,78699.188608,78699.198893,78699.198946,105.139,10.285,0.053,115.477
34,78699.198998,78699.304106,78699.314381,78699.314430,105.108,10.275,0.050,115.432
35,78699.314479,78699.419621,78699.434937,78699.434984,105.142,15.315,0.047,120.504
36,78699.435033,78699.540099,78699.555400,78699.555459,105.066,15.301,0.059,120.426
37,78699.555503,78699.660647,78699.670849,78699.670897,105.144,10.202,0.048,115.394
38,78699.670944,78699.776055,78699.791373,78699.791424,105.111,15.317,0.051,120.480
39,78699.791468,78699.896609,78699.906945,78699.906995,105.140,10.337,0.050,115.527
