cell_id,family,pair,arm,solver,ok,solver_status,timed_out,returncode,makespan_pred_ms,num_operations,num_periodic_operations,total_busy_ms,wall_s,build_s,solve_s,mosek_time_s,mip_rel_gap,mip_best_obj,mip_best_bound,num_period_misses,worst_late_ms,util_CPU_P,util_CPU_E,busy_CPU_P_ms,busy_CPU_E_ms,n_CPU_P,n_CPU_E,hw_CPU_P,hw_CPU_E,failure_reason,error
base__networks_bimodal_gempair__greedy,bimodal,gempair,base,greedy,True,heuristic,,0,3627.6066590000005,379,224,3662.979604999973,4.291011333465576,,,,,,,0,0.0,0.5048755211527982,,3662.979604999973,,2,0,gemmini_q31,V256D128_rvv,,
base__networks_bimodal_gempair__greedy_periodic,bimodal,gempair,base,greedy_periodic,True,heuristic,,0,3627.6066590000005,379,224,3662.979604999973,4.352144479751587,,,,,,,0,0.0,0.5048755211527982,,3662.979604999973,,2,0,gemmini_q31,V256D128_rvv,,
base__networks_bimodal_gempair__decomposed,bimodal,gempair,base,decomposed,True,heuristic,,0,3627.6066590000005,379,224,3662.979604999973,3.6336331367492676,,,,,,,0,0.0,0.5048755211527982,,3662.979604999973,,2,0,gemmini_q31,V256D128_rvv,,
base__networks_bimodal_gempair__milp,bimodal,gempair,base,milp,False,,False,1,,,,,695.6072471141815,,,,,,,,,,,,,0,0,,,out_of_memory_model_build,run failed (rc=1) or no schedule json
base__networks_bimodal_hetero__greedy,bimodal,hetero,base,greedy,False,heuristic,,1,,,,,0.8930680751800537,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_hetero__greedy_periodic,bimodal,hetero,base,greedy_periodic,False,heuristic,,1,,,,,1.386988878250122,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_hetero__decomposed,bimodal,hetero,base,decomposed,False,heuristic,,1,,,,,0.777843713760376,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_hetero__milp,bimodal,hetero,base,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
base__networks_bimodal_quad__greedy,bimodal,quad,base,greedy,False,heuristic,,1,,,,,0.563244104385376,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_quad__greedy_periodic,bimodal,quad,base,greedy_periodic,False,heuristic,,1,,,,,1.2807903289794922,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_quad__decomposed,bimodal,quad,base,decomposed,False,heuristic,,1,,,,,1.0718629360198975,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_quad__milp,bimodal,quad,base,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
base__networks_bimodal_rvvpair__greedy,bimodal,rvvpair,base,greedy,False,heuristic,,1,,,,,0.6283683776855469,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_rvvpair__greedy_periodic,bimodal,rvvpair,base,greedy_periodic,False,heuristic,,1,,,,,0.8324134349822998,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_rvvpair__decomposed,bimodal,rvvpair,base,decomposed,False,heuristic,,1,,,,,2.5046184062957764,,,,,,,,,,,,,0,0,,,missing_profile_data,run failed (rc=1) or no schedule json
base__networks_bimodal_rvvpair__milp,bimodal,rvvpair,base,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
base__networks_control_mix_gempair__greedy,control_mix,gempair,base,greedy,True,heuristic,,0,62.769885999999985,274,119,78.61497999999996,3.856358289718628,,,,,,,0,0.0,0.6262157302627568,,78.61497999999997,,2,0,gemmini_q31,V256D128_rvv,,
base__networks_control_mix_gempair__greedy_periodic,control_mix,gempair,base,greedy_periodic,True,heuristic,,0,62.84480400000005,274,119,78.61497999999996,4.360100746154785,,,,,,,5,27.476774999999986,0.6254692114243837,,78.61497999999997,,2,0,gemmini_q31,V256D128_rvv,,
