count,mean,netvar,bb
1, 263, 0, 0x80000322-0x80000348
3, 28, 6, 0x80003804-0x8000380a
1, 8, 0, 0x8000340e-0x80003418
1, 0, 0, 0x800002f6-0x800002f6
1, 65, 0, 0x8000700c-0x80007014
1, 6, 0, 0x80003404-0x8000340c
11918, 10.004866588353751, 58, 0x80006f5a-0x80006f5e
3, 5, 0, 0x80003810-0x80003812
1, 3, 0, 0x8000380e-0x80003812
1, 4, 0, 0x80003852-0x80003858
58888, 5.005960467327808, 351, 0x8000033c-0x80000348
1, 93, 0, 0x80006f34-0x80006f58
11917228, 12.003009760323458, 35868, 0x80006f62-0x80006f6a
1, 159, 0, 0x800037ee-0x8000380a
1, 51, 0, 0x80003436-0x80003442
11917, 8.016447092389024, 196, 0x80006f6e-0x80006f78
1, 115, 0, 0x80003816-0x8000384e
1, 31, 0, 0x8000385c-0x80003870
1, 59, 0, 0x8000034c-0x80000366
1, 26, 0, 0x80006f1c-0x80006f26
