entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv,1,1,0.000000,1.495032,0.017000,1.533000,1.516000
1,mlp_control,0,0,linear,mlp.0,gemmini_q31,0,0,0.000000,0.050170,0.019000,0.072000,0.053000
2,mlp_control,0,1,elu,mlp.1,gemmini_q31,0,0,0.050170,0.025003,0.073000,0.099000,0.026000
3,mlp_control,0,2,linear,mlp.2,gemmini_q31,0,0,0.075173,0.341696,0.100000,0.448000,0.348000
4,mlp_control,0,3,elu,mlp.3,gemmini_q31,0,0,0.416869,0.015066,0.449000,0.465000,0.016000
5,mlp_control,0,4,linear,mlp.4,gemmini_q31,0,0,0.431935,0.086760,0.465000,0.554000,0.089000
6,mlp_control,0,5,elu,mlp.5,gemmini_q31,0,0,0.518695,0.006353,0.555000,0.562000,0.007000
7,mlp_control,0,6,linear,mlp.6,gemmini_q31,0,0,0.525048,0.002814,0.562000,0.566000,0.004000
8,dronet,0,1,maxpool2d_s8,maxpool1,rvv,1,1,1.495032,0.218024,1.535000,1.775000,0.240000
9,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,1,1,1.713056,0.031082,1.776000,1.806000,0.030000
10,dronet,0,3,conv2d_s8,conv_modules.1,gemmini_q31,0,0,1.744138,0.673936,1.813000,2.438000,0.625000
11,dronet,0,5,conv2d_s8,conv_modules.3,rvv,1,1,1.744138,0.177518,1.809000,1.992000,0.183000
12,dronet,0,4,conv2d_s8,conv_modules.2,gemmini_q31,0,0,2.418074,0.520618,2.440000,2.920000,0.480000
13,dronet,0,6,add_s8,add,rvv,1,1,2.938692,0.011577,2.927000,2.939000,0.012000
14,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,1,1,2.950269,0.009146,2.940000,2.949000,0.009000
15,dronet,0,10,conv2d_s8,conv_modules.6,rvv,1,1,2.959415,0.112011,2.951000,3.066000,0.115000
16,dronet,0,8,conv2d_s8,conv_modules.4,gemmini_q31,0,0,2.959415,0.242144,2.953000,3.180000,0.227000
17,dronet,0,9,conv2d_s8,conv_modules.5,gemmini_q31,0,0,3.201559,0.240469,3.181000,3.398000,0.217000
18,dronet,0,11,add_s8,add_1,rvv,1,1,3.442028,0.005781,3.404000,3.410000,0.006000
19,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,1,1,3.447809,0.005419,3.411000,3.417000,0.006000
20,dronet,0,13,conv2d_s8,conv_modules.7,gemmini_q31,0,0,3.453228,0.143299,3.421000,3.556000,0.135000
21,dronet,0,15,conv2d_s8,conv_modules.9,rvv,1,1,3.453228,0.090931,3.418000,3.513000,0.095000
22,dronet,0,14,conv2d_s8,conv_modules.8,gemmini_q31,0,0,3.596527,0.160929,3.557000,3.711000,0.154000
23,dronet,0,16,add_s8,add_2,rvv,1,1,3.757456,0.003916,3.718000,3.723000,0.005000
24,dronet,0,17,relu_s8,relu_modules.6,rvv,1,1,3.761372,0.000407,3.723000,3.724000,0.001000
25,dronet,0,19,linear_s8,linear2,rvv,1,1,3.761779,0.002167,3.725000,3.728000,0.003000
26,dronet,0,18,linear_s8,linear1,rvv,1,1,3.763946,0.002529,3.729000,3.732000,0.003000
27,dronet,0,20,sigmoid_s8,sigmoid1,gemmini_q31,0,0,3.763946,0.000655,3.732000,3.733000,0.001000
28,yolov8_nano,0,0,conv2d_s8,l0.conv,rvv,1,1,3.766475,2.582709,3.766000,6.332000,2.566000
29,yolov8_nano,0,1,silu_s8,l0.act,rvv,1,1,6.349184,0.162342,6.334000,6.495000,0.161000
30,yolov8_nano,0,2,conv2d_s8,l1.conv,rvv,1,1,6.511526,2.737774,6.497000,9.203000,2.706000
31,yolov8_nano,0,3,silu_s8,l1.act,rvv,1,1,9.249300,0.094797,9.205000,9.301000,0.096000
