dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,6.989156,ms,6989156.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,6989156
1,dronet$dispatch_1_gemmini_q31_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,1.286523,ms,1286523.000000,0,,firesim,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,1286523
2,dronet$dispatch_2_gemmini_q31_batchnorm2d_s8_N1xC32xH27xW27,,,1.863497,ms,1863497.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=27;W=27,1863497
3,dronet$dispatch_3_gemmini_q31_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,0.673936,ms,673936.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,673936
4,dronet$dispatch_4_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,0.520618,ms,520618.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,520618
5,dronet$dispatch_5_gemmini_q31_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,0.490135,ms,490135.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,490135
6,dronet$dispatch_6_gemmini_q31_add_s8_n6272,,,0.225129,ms,225129.000000,0,,firesim,add_s8,n=6272,225129
7,dronet$dispatch_7_gemmini_q31_batchnorm2d_s8_N1xC32xH14xW14,,,0.516972,ms,516972.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=14;W=14,516972
8,dronet$dispatch_8_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,0.242144,ms,242144.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,242144
9,dronet$dispatch_9_gemmini_q31_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,0.240469,ms,240469.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,240469
