dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,10.690607,ms,10690607.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,10690607
1,yolov8_nano$dispatch_1_gemmini_q31_silu_s8_n102400,,,28.274002,ms,28274002.000000,0,,firesim,silu_s8,n=102400,28274002
2,yolov8_nano$dispatch_2_gemmini_q31_conv2d_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,4.299344,ms,4299344.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,4299344
3,yolov8_nano$dispatch_3_gemmini_q31_silu_s8_n51200,,,13.639022,ms,13639022.000000,0,,firesim,silu_s8,n=51200,13639022
4,yolov8_nano$dispatch_4_gemmini_q31_conv2d_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,2.974258,ms,2974258.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,2974258
5,yolov8_nano$dispatch_5_gemmini_q31_silu_s8_n51200,,,13.684619,ms,13684619.000000,0,,firesim,silu_s8,n=51200,13684619
6,yolov8_nano$dispatch_6_gemmini_q31_chunk2_c1_N1xC32xH40xW40xc_each16,,,0.000000,ms,0.000000,0,,firesim,chunk2_c1,N=1;C=32;H=40;W=40;c_each=16,0
7,yolov8_nano$dispatch_7_gemmini_q31_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,2.782299,ms,2782299.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2782299
8,yolov8_nano$dispatch_8_gemmini_q31_silu_s8_n25600,,,7.013909,ms,7013909.000000,0,,firesim,silu_s8,n=25600,7013909
9,yolov8_nano$dispatch_9_gemmini_q31_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,2.768733,ms,2768733.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2768733
10,yolov8_nano$dispatch_10_gemmini_q31_silu_s8_n25600,,,7.036053,ms,7036053.000000,0,,firesim,silu_s8,n=25600,7036053
11,yolov8_nano$dispatch_11_gemmini_q31_add_s8_n25600,,,0.901202,ms,901202.000000,0,,firesim,add_s8,n=25600,901202
12,yolov8_nano$dispatch_12_gemmini_q31_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,0.834687,ms,834687.000000,0,,firesim,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,834687
13,yolov8_nano$dispatch_13_gemmini_q31_conv2d_s8_N1xIC48xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,3.166353,ms,3166353.000000,0,,firesim,conv2d_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,3166353
14,yolov8_nano$dispatch_14_gemmini_q31_silu_s8_n51200,,,13.979295,ms,13979295.000000,0,,firesim,silu_s8,n=51200,13979295
15,yolov8_nano$dispatch_15_gemmini_q31_conv2d_s8_N1xIC32xIH40xIW40xOC64xOH20xOW20xKH3xKW3xSH2xSW2xPH1xPW1,,,1.836801,ms,1836801.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1836801
16,yolov8_nano$dispatch_16_gemmini_q31_silu_s8_n25600,,,6.954365,ms,6954365.000000,0,,firesim,silu_s8,n=25600,6954365
17,yolov8_nano$dispatch_17_gemmini_q31_conv2d_s8_N1xIC64xIH20xIW20xOC64xOH20xOW20xKH1xKW1xSH1xSW1xPH0xPW0,,,1.309188,ms,1309188.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1309188
18,yolov8_nano$dispatch_18_gemmini_q31_silu_s8_n25600,,,6.875700,ms,6875700.000000,0,,firesim,silu_s8,n=25600,6875700
